"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","W2","10-Sep-2018","        444.05","        418.00","        418.00","        404.90","        409.40","        409.40","        408.70","     124100","            50719305.00","         17","     102200","         82.35"
"HDFC","EQ","11-Sep-2018","       1883.55","       1890.00","       1892.55","       1860.45","       1872.00","       1868.05","       1867.02","    4062178","          7584174701.05","     131873","    1682017","         41.41"
"HDFC","W2","11-Sep-2018","        409.40","        400.80","        400.80","        387.00","        393.30","        393.05","        391.94","     153300","            60084840.00","         21","     131400","         85.71"
"HDFC","EQ","12-Sep-2018","       1868.05","       1878.90","       1886.75","       1856.55","       1884.75","       1877.80","       1873.37","    2641076","          4947710467.40","     137553","    1805086","         68.35"
"HDFC","W2","12-Sep-2018","        393.05","        394.50","        404.50","        381.80","        404.50","        398.60","        396.27","     182500","            72318545.00","         25","     153300","         84.00"
"HDFC","EQ","14-Sep-2018","       1877.80","       1892.00","       1928.95","       1882.10","       1920.00","       1925.45","       1909.27","    3521562","          6723627966.90","     144854","    2417813","         68.66"
"HDFC","W2","14-Sep-2018","        398.60","        414.10","        438.45","        414.10","        430.00","        431.60","        431.48","     335800","           144890400.00","         21","     321200","         95.65"
"HDFC","EQ","17-Sep-2018","       1925.45","       1910.00","       1910.00","       1871.00","       1877.45","       1878.85","       1884.45","    2164001","          4077952902.80","      95396","    1474430","         68.13"
"HDFC","W2","17-Sep-2018","        431.60","        405.00","        408.15","        393.00","        399.50","        401.10","        399.94","     401500","           160575910.00","         32","     313900","         78.18"
"HDFC","EQ","18-Sep-2018","       1878.85","       1877.25","       1888.75","       1847.05","       1850.00","       1855.70","       1870.41","    2905388","          5434266976.10","      88448","    2186690","         75.26"
"HDFC","W2","18-Sep-2018","        401.10","        385.35","        405.40","        373.00","        373.00","        386.20","        391.20","     328500","           128510660.00","         26","     270100","         82.22"
"HDFC","EQ","19-Sep-2018","       1855.70","       1860.40","       1864.00","       1824.15","       1833.20","       1830.65","       1841.25","    4046901","          7451372379.15","     131149","    2783767","         68.79"
"HDFC","W2","19-Sep-2018","        386.20","        368.80","        368.80","        352.00","        357.00","        353.65","        362.46","     416100","           150821285.00","         41","     372300","         89.47"
"HDFC","EQ","21-Sep-2018","       1830.65","       1835.65","       1875.00","       1783.00","       1839.40","       1839.40","       1836.62","    6425727","         11801612980.00","     216230","    4686812","         72.94"
"HDFC","W2","21-Sep-2018","        353.65","        377.05","        380.00","        319.00","        353.35","        351.55","        361.23","    1065800","           384998350.00","        100","     941700","         88.36"
"HDFC","EQ","24-Sep-2018","       1839.40","       1839.00","       1846.25","       1702.80","       1724.00","       1718.70","       1752.33","    9026730","         15817833453.70","     312842","    6951300","         77.01"
"HDFC","W2","24-Sep-2018","        351.55","        316.40","        316.40","        316.40","        316.40","        316.40","        316.40","      14600","             4619440.00","          2","      14600","        100.00"
"HDFC","EQ","25-Sep-2018","       1718.70","       1728.80","       1784.00","       1713.80","       1773.35","       1773.35","       1746.38","    7202463","         12578201583.55","     274555","    4963251","         68.91"
"HDFC","W2","25-Sep-2018","        316.40","        284.80","        299.85","        284.80","        287.55","        290.00","        286.84","     357700","           102604055.00","         42","     321200","         89.80"
"HDFC","EQ","26-Sep-2018","       1773.35","       1783.60","       1806.30","       1756.10","       1759.00","       1767.45","       1772.93","    4044415","          7170471967.85","     170572","    3076352","         76.06"
"HDFC","W2","26-Sep-2018","        290.00","        280.00","        300.00","        277.00","        277.20","        283.60","        287.08","     379600","           108975495.00","         49","     321200","         84.62"
