Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-09-17,401.0,416.0,393.72,393.72,394.0,323.0,1.28
2018-09-14,398.86,399.26,398.0,398.0,398.0,176.0,0.7
2018-09-12,394.61,394.61,392.25,392.25,392.25,79.0,0.31
2018-09-11,399.58,399.58,391.98,393.54,393.28,181.0,0.72
2018-09-10,395.0,401.06,393.0,398.34,398.34,43.0,0.17
2018-09-07,401.93,402.32,400.93,401.32,401.32,27.0,0.11
2018-09-06,401.11,402.7,397.66,402.7,402.7,10148.0,40.59
2018-09-05,401.31,401.31,397.36,399.82,399.13,104.0,0.41
2018-09-04,406.0,406.0,400.45,400.45,400.45,267.0,1.07
2018-09-03,406.0,448.0,395.5,425.0,424.7,182.0,0.77
2018-08-31,407.0,421.0,395.5,405.93,405.93,213.0,0.87
2018-08-30,406.0,406.61,404.59,406.21,406.21,19.0,0.08
2018-08-29,406.0,409.01,406.0,408.21,408.21,6.0,0.02
2018-08-28,406.0,408.21,406.0,408.21,408.21,46.0,0.19
2018-08-27,405.0,405.94,405.0,405.52,405.52,62.0,0.25
2018-08-24,403.92,403.92,402.0,402.0,402.0,29.0,0.12
2018-08-23,401.0,403.28,401.0,403.28,403.28,18.0,0.07
2018-08-21,401.0,402.18,400.37,400.37,400.37,15.0,0.06
2018-08-20,399.37,402.56,399.37,402.56,402.56,101.0,0.41
2018-08-17,398.61,399.19,398.61,398.79,398.79,93.0,0.37
2018-08-16,397.24,397.24,396.0,396.2,396.2,27.0,0.11
2018-08-14,396.9,397.79,396.41,397.79,397.79,62.0,0.25
2018-08-13,394.96,394.96,394.96,394.96,394.96,64.0,0.25
2018-08-10,398.52,398.72,396.56,397.91,397.91,68.0,0.27
2018-08-09,399.14,399.54,397.95,397.95,397.95,1515.0,6.05
2018-08-08,395.85,398.45,395.85,398.45,398.45,43.0,0.17
2018-08-07,395.13,395.73,395.13,395.16,395.16,6.0,0.02
2018-08-06,395.0,397.22,395.0,395.04,395.04,93.0,0.37
2018-08-03,391.5,393.75,391.5,393.75,393.75,159.0,0.63
2018-08-02,390.36,392.31,390.36,392.31,392.31,16.0,0.06
2018-08-01,395.71,395.71,392.16,393.92,393.92,11.0,0.04
2018-07-31,392.47,394.47,392.47,394.47,394.47,13.0,0.05
2018-07-30,391.74,393.3,391.74,392.47,392.47,120.0,0.47
2018-07-27,390.0,392.35,390.0,391.74,391.74,22.0,0.09
2018-07-26,388.77,388.97,387.03,387.43,387.43,34.0,0.13
2018-07-25,387.52,387.52,387.52,387.52,387.52,8.0,0.03
2018-07-24,383.0,388.03,383.0,386.56,386.56,236.0,0.91
2018-07-23,384.81,384.81,382.69,383.58,383.58,46.0,0.18
2018-07-20,383.95,384.54,382.42,383.96,383.96,70.0,0.27
2018-07-19,382.51,382.9,380.38,380.38,380.38,794.0,3.03
2018-07-18,385.15,385.35,381.37,382.69,382.69,38.0,0.15
2018-07-17,382.47,382.47,380.76,380.76,380.76,35.0,0.13
2018-07-16,383.83,384.03,380.0,380.0,380.0,278.0,1.06
2018-07-13,385.79,385.79,382.92,382.92,382.92,38.0,0.15
2018-07-12,383.28,387.0,380.5,380.5,383.5,75.0,0.29
2018-07-11,381.16,381.41,380.96,381.2,381.2,26.0,0.1
2018-07-10,379.32,379.91,378.61,379.8,379.8,62.0,0.24
2018-07-09,380.0,399.0,374.0,374.0,374.5,94.0,0.36
2018-07-06,374.19,375.0,373.47,373.47,373.47,35.0,0.13
2018-07-05,374.95,374.95,372.53,372.53,372.53,70.0,0.26
